Sun Dec 14 11:55:10 +0000 2008 => begin transaction
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/button/btn-arrow.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button/btn-arrow.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/button/btn-sprite.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/button/btn-sprite.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/dd/drop-add.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd/drop-add.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/dd/drop-no.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd/drop-no.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/dd/drop-yes.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/dd/drop-yes.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/editor
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/editor/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/editor/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/editor
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/editor/tb-sprite.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/editor/tb-sprite.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/clear-trigger.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/clear-trigger.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/date-trigger.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/date-trigger.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/error-tip-corners.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/error-tip-corners.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/exclamation.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/exclamation.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/search-trigger.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/search-trigger.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/text-bg.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/text-bg.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/trigger-tpl.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/trigger-tpl.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/form/trigger.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/form/trigger.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/gradient-bg.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/gradient-bg.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/.
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/..
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/arrow-left-white.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/arrow-left-white.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/arrow-right-white.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/arrow-right-white.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/col-move-bottom.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/col-move-bottom.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/col-move-top.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/col-move-top.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/columns.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/columns.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/dirty.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/dirty.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/done.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/done.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/drop-no.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/drop-no.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/drop-yes.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/drop-yes.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/footer-bg.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/footer-bg.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-blue-hd.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-blue-hd.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-blue-split.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-blue-split.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-hrow.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-hrow.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-loading.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-loading.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-split.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-split.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid-vista-hd.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid-vista-hd.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid3-hd-btn.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid3-hd-btn.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid3-hrow-over.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid3-hrow-over.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid3-hrow.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid3-hrow.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid3-special-col-bg.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid3-special-col-bg.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
Sun Dec 14 11:55:10 +0000 2008 => recording cp, args=/Users/adrien/.appcelerator/releases/websdk/websdk/2.2.2/common/./images/extjs/default/grid/grid3-special-col-sel-bg.gif,/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid/grid3-special-col-sel-bg.gif
Sun Dec 14 11:55:10 +0000 2008 => recording mkdir, args=/Users/adrien/Git/personal/hindsightapp/public/widgets/common/images/extjs/default/grid
